Attributes,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume
Symbols,AAPL,AMZN,FB,GCVRZ,GOOGL,GSK,LLY,MRK,MSFT,NFLX,NVS,ORCL,PFE,PYPL,TSLA,TWTR,AAPL,AMZN,FB,GCVRZ,GOOGL,GSK,LLY,MRK,MSFT,NFLX,NVS,ORCL,PFE,PYPL,TSLA,TWTR,AAPL,AMZN,FB,GCVRZ,GOOGL,GSK,LLY,MRK,MSFT,NFLX,NVS,ORCL,PFE,PYPL,TSLA,TWTR,AAPL,AMZN,FB,GCVRZ,GOOGL,GSK,LLY,MRK,MSFT,NFLX,NVS,ORCL,PFE,PYPL,TSLA,TWTR,AAPL,AMZN,FB,GCVRZ,GOOGL,GSK,LLY,MRK,MSFT,NFLX,NVS,ORCL,PFE,PYPL,TSLA,TWTR
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-23,152.9028,1656.0,148.28,0.463,1086.86,38.3117,115.8288,75.0408,105.279,328.25,85.8236,48.9707,41.2605,90.74,292.5,32.26,153.8848,1657.43,148.8,0.4727,1092.95,38.4382,117.5992,75.1997,106.1917,331.75,86.1566,49.2594,41.4669,91.17,294.5,32.45,150.4727,1612.0,143.055,0.45,1067.57,37.7959,115.6409,74.2363,104.5051,318.6,85.155,48.6123,40.8282,89.57,281.69,30.72,152.6747,1640.02,144.3,0.45,1084.41,38.0197,117.4904,74.9315,105.8643,321.99,85.4166,49.0205,41.4276,90.5,287.59,30.97,23130570,5225212,20098415,12368,1259738,2735417,4012069,13711083,25874294,13480138,1933327,15551202,23209663,5596051,12529993,21084440
2019-01-24,152.8632,1641.07,144.64,0.45,1082.51,37.5429,116.9267,74.6534,106.0131,320.6,84.2829,49.0404,41.0542,90.67,283.03,30.94,153.2302,1657.26,146.44,0.475,1088.0,37.5721,116.9267,74.6534,106.152,331.8,84.3701,49.2096,41.064,92.99,293.68,31.73,150.5123,1631.78,142.52,0.4301,1070.02,37.2218,112.9507,71.8922,104.5051,319.0,83.5077,48.6521,39.9143,90.55,279.2831,30.91,151.4646,1654.93,145.83,0.465,1084.0,37.3385,113.732,72.6768,105.3583,326.67,83.7209,48.9807,40.2386,92.2,291.51,31.61,25441549,4089943,20955518,25216,1455948,4394626,6946450,20979630,23164838,11131627,1764738,11442236,32631942,9749072,8012155,12470397
2019-01-25,154.2221,1670.5,147.48,0.4534,1094.23,37.3288,114.0782,73.3225,106.3901,328.72,83.6046,49.3789,40.386,93.05,294.39,31.99,156.8506,1683.48,149.83,0.4749,1103.36,37.5186,114.0881,73.3423,107.025,340.0,83.7597,49.6775,40.5334,94.58,298.5195,33.62,153.0715,1661.61,146.54,0.43,1091.8,37.2315,112.7924,71.6339,105.7452,328.51,83.062,49.2296,39.8013,92.69,289.55,31.98,156.4836,1670.57,149.01,0.46,1101.51,37.3872,113.7122,72.4583,106.3206,338.05,83.2849,49.578,39.934,94.28,297.04,32.9,33547893,4959679,22250954,39916,1163788,2850484,4599052,13410687,31218193,11166609,3277976,16656580,34029811,11664736,7258078,22522440
2019-01-28,154.5296,1643.59,148.05,0.46,1090.07,37.2218,113.465,72.0113,105.4179,334.7,82.5969,49.2296,39.7964,93.3,292.91,32.65,155.0652,1645.0,148.96,0.4676,1093.37,37.4553,113.8507,72.5775,105.6361,336.3,83.0426,49.5083,39.8259,93.42,297.46,33.2,152.4168,1614.09,146.21,0.45,1074.61,37.1342,112.2979,71.5644,103.8305,328.88,82.2868,48.9906,38.7941,90.69,287.75,32.12,155.0354,1637.89,147.47,0.4573,1079.86,37.4067,113.7716,72.4285,104.2472,335.66,82.9942,49.2992,38.8432,92.3,296.38,33.13,26192058,4837711,15508483,11254,1466714,2520890,3590920,12764067,29476719,8652082,4267686,11799138,37314660,7361144,6423279,21750772
2019-01-29,154.9858,1631.27,148.09,0.47,1081.04,37.6889,113.1386,72.4087,104.0488,335.87,83.217,49.1698,38.8138,92.33,295.27,33.33,156.8506,1632.38,148.1,0.475,1084.73,37.8835,114.6815,73.1834,104.1381,338.22,84.0019,49.6975,40.1403,92.85,298.5566,33.55,152.8632,1590.72,143.43,0.47,1066.02,37.5916,112.6638,72.1504,101.3603,328.151,83.217,48.9707,38.7843,90.57,291.8,31.46,153.4285,1593.88,144.19,0.475,1070.06,37.6791,114.4441,72.7364,102.1242,328.9,83.905,49.3888,40.0617,91.12,297.46,31.64,41587239,4632782,17631953,46742,985248,2263819,3767564,11418594,31490547,7655189,1928399,10838600,48744552,6399936,4621692,18849804
2019-01-30,161.9292,1623.0,146.22,0.48,1077.36,38.0781,114.2661,72.9649,103.7909,332.75,82.3837,49.6377,40.0617,92.02,300.45,32.04,164.8057,1676.95,150.95,0.52,1099.52,38.1277,115.7992,73.3125,105.5369,341.78,83.4205,50.2749,41.0247,93.34,309.0,32.38,158.9336,1619.68,145.6953,0.4716,1076.64,37.4164,114.2661,72.5229,103.5032,330.8,82.3353,49.3789,40.0224,90.9,298.49,31.42,163.913,1670.43,150.42,0.4801,1097.99,37.6694,115.6607,72.8755,105.5369,340.66,83.0135,50.1355,40.8576,92.42,308.77,32.26,61109780,5783822,44613240,86688,1472647,5768280,4362867,13302853,49471866,9234530,2439030,13483753,34220034,11622819,11250318,17142508
2019-01-31,164.7661,1692.85,165.6,0.469,1112.24,37.6986,115.6607,72.657,102.9774,339.68,83.779,50.016,41.0162,89.02,301.0,33.07,167.6327,1736.41,171.68,0.505,1127.67,38.1949,118.8257,74.3157,104.3861,345.99,84.9564,50.2749,42.2453,90.09,311.5636,33.69,163.2286,1679.08,165.0,0.44,1105.25,37.5818,115.4504,72.6172,102.3623,338.0919,83.4787,49.8468,40.9865,86.62,294.0,32.79,165.0934,1718.73,166.69,0.505,1125.89,38.1462,118.5487,73.9283,103.6024,339.5,84.8062,50.0061,42.0768,88.76,307.02,33.56,40739649,10910338,77233602,32330,2011572,4001688,5746070,16028339,55636391,8535517,3297695,20403558,38830562,23729880,12569245,21211309
2019-02-01,165.6092,1638.88,165.84,0.48,1122.29,38.0295,119.0037,75.458,102.9526,337.18,84.4767,50.2948,42.4931,88.36,305.42,33.56,167.6128,1673.06,169.1,0.48,1134.4,38.3019,119.6664,76.9677,103.2749,346.84,85.2132,50.8672,42.7409,90.5,316.1,34.09,164.5875,1622.01,165.66,0.4511,1114.25,37.9711,117.8267,74.8223,101.5388,336.5,84.3604,50.0658,42.1759,88.25,303.5,32.96,165.1728,1626.23,165.71,0.471,1118.62,38.1462,119.5675,75.9347,101.9654,339.85,84.9418,50.5835,42.503,90.01,312.21,33.19,32668138,11506213,30806513,75215,1655813,2313939,4171696,15211767,35535690,9827760,3061443,14849598,25844214,10514645,7283441,18816582
2019-02-04,166.0556,1623.0,165.7,0.495,1119.01,38.0976,119.884,75.4381,102.0547,342.6,85.5135,50.1554,42.4634,89.88,312.98,33.34,170.2662,1649.63,169.3,0.495,1142.34,38.1268,120.5071,76.3718,104.9615,352.0,85.8721,51.0215,42.4634,92.12,315.3,34.18,165.9266,1613.5,163.62,0.4515,1117.51,37.8932,117.3915,75.1699,101.9555,341.3,85.3101,50.1554,41.5911,89.71,301.88,33.24,169.8645,1633.31,169.25,0.456,1141.42,38.0878,118.8554,76.3519,104.902,351.34,85.6395,50.8025,42.0669,91.66,312.89,33.94,31495582,4929187,20036470,5783,3920591,2166411,4518418,11282641,31315282,9051387,1995691,12221237,18431233,7084477,7352082,14244111
2019-02-05,171.4615,1643.34,169.15,0.485,1129.63,38.4187,119.3993,76.8585,105.2194,353.2,85.8915,50.9419,42.057,91.91,312.49,34.29,173.6635,1665.26,171.98,0.485,1152.77,38.7106,120.4082,77.8468,106.4199,360.0,86.4728,51.141,42.3544,92.35,322.44,34.57,170.9557,1642.5,168.69,0.451,1123.6,38.3603,119.0828,76.5406,105.1202,352.9,85.8285,50.6582,41.6903,91.36,312.2494,33.92,172.7708,1658.81,171.16,0.4513,1151.87,38.3895,119.1125,76.63,106.3702,355.81,86.1918,51.0116,41.7398,92.27,321.35,34.37,36101628,4453105,22556985,25308,4114790,3197453,8832402,12362293,27325365,9046623,2048044,13345467,20045245,5591260,6742765,17610232
